"mes_id","geo_id","cat_id","cat_name"
35,1,37,"North Carolina"
35,1,38,"North Dakota"
35,1,39,"Ohio"
35,1,40,"Oklahoma"
35,1,41,"Oregon"
35,1,42,"Pennsylvania"
35,1,44,"Rhode Island"
35,1,45,"South Carolina"
35,1,46,"South Dakota"
35,1,47,"Tennessee"
35,1,48,"Texas"
35,1,49,"Utah"
35,1,50,"Vermont"
35,1,51,"Virginia"
35,1,53,"Washington"
35,1,54,"West Virginia"
35,1,55,"Wisconsin"
35,1,56,"Wyoming"
35,2,1,"Alabama"
35,2,2,"Alaska"
35,2,4,"Arizona"
35,2,5,"Arkansas"
35,2,6,"California"
35,2,8,"Colorado"
35,2,9,"Connecticut"
35,2,10,"Delaware"
35,2,11,"District of Columbia"
35,2,12,"Florida"
35,2,13,"Georgia"
35,2,15,"Hawaii"
35,2,16,"Idaho"
35,2,17,"Illinois"
35,2,18,"Indiana"
35,2,19,"Iowa"
35,2,20,"Kansas"
35,2,21,"Kentucky"
35,2,22,"Louisiana"
35,2,23,"Maine"
35,2,24,"Maryland"
35,2,25,"Massachusetts"
35,2,26,"Michigan"
35,2,27,"Minnesota"
35,2,28,"Mississippi"
35,2,29,"Missouri"
35,2,30,"Montana"
35,2,31,"Nebraska"
35,2,32,"Nevada"
35,2,33,"New Hampshire"
35,2,34,"New Jersey"
35,2,35,"New Mexico"
35,2,36,"New York"
35,2,37,"North Carolina"
35,2,38,"North Dakota"
35,2,39,"Ohio"
35,2,40,"Oklahoma"
35,2,41,"Oregon"
35,2,42,"Pennsylvania"
35,2,44,"Rhode Island"
35,2,45,"South Carolina"
35,2,46,"South Dakota"
35,2,47,"Tennessee"
35,2,48,"Texas"
35,2,49,"Utah"
35,2,50,"Vermont"
35,2,51,"Virginia"
35,2,53,"Washington"
35,2,54,"West Virginia"
35,2,55,"Wisconsin"
35,2,56,"Wyoming"
36,1,1,"Alabama"
36,1,2,"Alaska"
36,1,4,"Arizona"
36,1,5,"Arkansas"
36,1,6,"California"
36,1,8,"Colorado"
36,1,9,"Connecticut"
36,1,10,"Delaware"
36,1,11,"District of Columbia"
36,1,12,"Florida"
36,1,13,"Georgia"
36,1,15,"Hawaii"
36,1,16,"Idaho"
36,1,17,"Illinois"
36,1,18,"Indiana"
36,1,19,"Iowa"
36,1,20,"Kansas"
36,1,21,"Kentucky"
36,1,22,"Louisiana"
36,1,23,"Maine"
36,1,24,"Maryland"
36,1,25,"Massachusetts"
36,1,26,"Michigan"
36,1,27,"Minnesota"
36,1,28,"Mississippi"
36,1,29,"Missouri"
36,1,30,"Montana"
36,1,31,"Nebraska"
36,1,32,"Nevada"
36,1,33,"New Hampshire"
36,1,34,"New Jersey"
36,1,35,"New Mexico"
36,1,36,"New York"
36,1,37,"North Carolina"
36,1,38,"North Dakota"
36,1,39,"Ohio"
36,1,40,"Oklahoma"
36,1,41,"Oregon"
36,1,42,"Pennsylvania"
36,1,44,"Rhode Island"
36,1,45,"South Carolina"
36,1,46,"South Dakota"
36,1,47,"Tennessee"
36,1,48,"Texas"
36,1,49,"Utah"
36,1,50,"Vermont"
36,1,51,"Virginia"
36,1,53,"Washington"
36,1,54,"West Virginia"
36,1,55,"Wisconsin"
36,1,56,"Wyoming"
36,2,1,"Alabama"
36,2,2,"Alaska"
36,2,4,"Arizona"
36,2,5,"Arkansas"
36,2,6,"California"
36,2,8,"Colorado"
36,2,9,"Connecticut"
36,2,10,"Delaware"
36,2,11,"District of Columbia"
36,2,12,"Florida"
36,2,13,"Georgia"
36,2,15,"Hawaii"
36,2,16,"Idaho"
36,2,17,"Illinois"
36,2,18,"Indiana"
36,2,19,"Iowa"
36,2,20,"Kansas"
36,2,21,"Kentucky"
36,2,22,"Louisiana"
36,2,23,"Maine"
36,2,24,"Maryland"
36,2,25,"Massachusetts"
36,2,26,"Michigan"
36,2,27,"Minnesota"
36,2,28,"Mississippi"
36,2,29,"Missouri"
36,2,30,"Montana"
36,2,31,"Nebraska"
36,2,32,"Nevada"
36,2,33,"New Hampshire"
36,2,34,"New Jersey"
36,2,35,"New Mexico"
36,2,36,"New York"
36,2,37,"North Carolina"
36,2,38,"North Dakota"
36,2,39,"Ohio"
36,2,40,"Oklahoma"
36,2,41,"Oregon"
36,2,42,"Pennsylvania"
36,2,44,"Rhode Island"
36,2,45,"South Carolina"
36,2,46,"South Dakota"
36,2,47,"Tennessee"
36,2,48,"Texas"
36,2,49,"Utah"
36,2,50,"Vermont"
36,2,51,"Virginia"
36,2,53,"Washington"
36,2,54,"West Virginia"
36,2,55,"Wisconsin"
36,2,56,"Wyoming"
45,1,1,"Alabama"
45,1,2,"Alaska"
45,1,4,"Arizona"
45,1,5,"Arkansas"
45,1,6,"California"
45,1,8,"Colorado"
45,1,9,"Connecticut"
45,1,10,"Delaware"
45,1,11,"District of Columbia"
45,1,12,"Florida"
45,1,13,"Georgia"
45,1,15,"Hawaii"
45,1,16,"Idaho"
45,1,17,"Illinois"
45,1,18,"Indiana"
45,1,19,"Iowa"
45,1,20,"Kansas"
45,1,21,"Kentucky"
45,1,22,"Louisiana"
45,1,23,"Maine"
45,1,24,"Maryland"
45,1,25,"Massachusetts"
45,1,26,"Michigan"
45,1,27,"Minnesota"
45,1,28,"Mississippi"
45,1,29,"Missouri"
45,1,30,"Montana"
45,1,31,"Nebraska"
45,1,32,"Nevada"
45,1,33,"New Hampshire"
45,1,34,"New Jersey"
45,1,35,"New Mexico"
45,1,36,"New York"
45,1,37,"North Carolina"
45,1,38,"North Dakota"
45,1,39,"Ohio"
45,1,40,"Oklahoma"
45,1,41,"Oregon"
45,1,42,"Pennsylvania"
45,1,44,"Rhode Island"
45,1,45,"South Carolina"
45,1,46,"South Dakota"
45,1,47,"Tennessee"
45,1,48,"Texas"
45,1,49,"Utah"
45,1,50,"Vermont"
45,1,51,"Virginia"
45,1,53,"Washington"
45,1,54,"West Virginia"
45,1,55,"Wisconsin"
45,1,56,"Wyoming"
45,2,1,"Alabama"
45,2,2,"Alaska"
45,2,4,"Arizona"
45,2,5,"Arkansas"
45,2,6,"California"
45,2,8,"Colorado"
45,2,9,"Connecticut"
45,2,10,"Delaware"
45,2,11,"District of Columbia"
45,2,12,"Florida"
45,2,13,"Georgia"
45,2,15,"Hawaii"
45,2,16,"Idaho"
45,2,17,"Illinois"
45,2,18,"Indiana"
45,2,19,"Iowa"
45,2,20,"Kansas"
45,2,21,"Kentucky"
45,2,22,"Louisiana"
45,2,23,"Maine"
45,2,24,"Maryland"
45,2,25,"Massachusetts"
45,2,26,"Michigan"
45,2,27,"Minnesota"
45,2,28,"Mississippi"
45,2,29,"Missouri"
45,2,30,"Montana"
45,2,31,"Nebraska"
45,2,32,"Nevada"
45,2,33,"New Hampshire"
45,2,34,"New Jersey"
45,2,35,"New Mexico"
45,2,36,"New York"
45,2,37,"North Carolina"
45,2,38,"North Dakota"
45,2,39,"Ohio"
45,2,40,"Oklahoma"
45,2,41,"Oregon"
45,2,42,"Pennsylvania"
45,2,44,"Rhode Island"
45,2,45,"South Carolina"
45,2,46,"South Dakota"
45,2,47,"Tennessee"
45,2,48,"Texas"
45,2,49,"Utah"
45,2,50,"Vermont"
45,2,51,"Virginia"
45,2,53,"Washington"
45,2,54,"West Virginia"
45,2,55,"Wisconsin"
45,2,56,"Wyoming"
46,1,1,"Alabama"
46,1,2,"Alaska"
46,1,4,"Arizona"
46,1,5,"Arkansas"
46,1,6,"California"
46,1,8,"Colorado"
46,1,9,"Connecticut"
46,1,10,"Delaware"
46,1,11,"District of Columbia"
46,1,12,"Florida"
46,1,13,"Georgia"
46,1,15,"Hawaii"
46,1,16,"Idaho"
46,1,17,"Illinois"
46,1,18,"Indiana"
46,1,19,"Iowa"
46,1,20,"Kansas"
46,1,21,"Kentucky"
46,1,22,"Louisiana"
46,1,23,"Maine"
46,1,24,"Maryland"
46,1,25,"Massachusetts"
46,1,26,"Michigan"
46,1,27,"Minnesota"
46,1,28,"Mississippi"
46,1,29,"Missouri"
46,1,30,"Montana"
46,1,31,"Nebraska"
46,1,32,"Nevada"
46,1,33,"New Hampshire"
46,1,34,"New Jersey"
46,1,35,"New Mexico"
46,1,36,"New York"
46,1,37,"North Carolina"
46,1,38,"North Dakota"
46,1,39,"Ohio"
46,1,40,"Oklahoma"
46,1,41,"Oregon"
46,1,42,"Pennsylvania"
46,1,44,"Rhode Island"
46,1,45,"South Carolina"
46,1,46,"South Dakota"
46,1,47,"Tennessee"
46,1,48,"Texas"
46,1,49,"Utah"
46,1,50,"Vermont"
46,1,51,"Virginia"
46,1,53,"Washington"
46,1,54,"West Virginia"
46,1,55,"Wisconsin"
46,1,56,"Wyoming"
46,2,1,"Alabama"
46,2,2,"Alaska"
46,2,4,"Arizona"
46,2,5,"Arkansas"
46,2,6,"California"
46,2,8,"Colorado"
46,2,9,"Connecticut"
46,2,10,"Delaware"
46,2,11,"District of Columbia"
46,2,12,"Florida"
46,2,13,"Georgia"
46,2,15,"Hawaii"
46,2,16,"Idaho"
46,2,17,"Illinois"
46,2,18,"Indiana"
46,2,19,"Iowa"
46,2,20,"Kansas"
46,2,21,"Kentucky"
46,2,22,"Louisiana"
46,2,23,"Maine"
46,2,24,"Maryland"
46,2,25,"Massachusetts"
46,2,26,"Michigan"
46,2,27,"Minnesota"
46,2,28,"Mississippi"
46,2,29,"Missouri"
46,2,30,"Montana"
46,2,31,"Nebraska"
46,2,32,"Nevada"
46,2,33,"New Hampshire"
46,2,34,"New Jersey"
46,2,35,"New Mexico"
46,2,36,"New York"
46,2,37,"North Carolina"
46,2,38,"North Dakota"
46,2,39,"Ohio"
46,2,40,"Oklahoma"
46,2,41,"Oregon"
46,2,42,"Pennsylvania"
46,2,44,"Rhode Island"
46,2,45,"South Carolina"
46,2,46,"South Dakota"
46,2,47,"Tennessee"
46,2,48,"Texas"
46,2,49,"Utah"
46,2,50,"Vermont"
46,2,51,"Virginia"
46,2,53,"Washington"
46,2,54,"West Virginia"
46,2,55,"Wisconsin"
46,2,56,"Wyoming"
47,1,1,"Alabama"
47,1,4,"Arizona"
47,1,5,"Arkansas"
47,1,6,"California"
47,1,8,"Colorado"
47,1,9,"Connecticut"
47,1,10,"Delaware"
47,1,11,"District of Columbia"
47,1,12,"Florida"
47,1,13,"Georgia"
47,1,15,"Hawaii"
47,1,16,"Idaho"
47,1,17,"Illinois"
47,1,18,"Indiana"
47,1,19,"Iowa"
47,1,21,"Kentucky"
47,1,22,"Louisiana"
47,1,23,"Maine"
47,1,24,"Maryland"
47,1,25,"Massachusetts"
47,1,26,"Michigan"
47,1,27,"Minnesota"
47,1,28,"Mississippi"
47,1,29,"Missouri"
47,1,30,"Montana"
47,1,31,"Nebraska"
47,1,32,"Nevada"
47,1,33,"New Hampshire"
47,1,34,"New Jersey"
47,1,35,"New Mexico"
47,1,36,"New York"
47,1,37,"North Carolina"
47,1,38,"North Dakota"
47,1,39,"Ohio"
47,1,40,"Oklahoma"
47,1,41,"Oregon"
47,1,42,"Pennsylvania"
47,1,44,"Rhode Island"
47,1,45,"South Carolina"
47,1,46,"South Dakota"
47,1,47,"Tennessee"
47,1,48,"Texas"
47,1,49,"Utah"
47,1,50,"Vermont"
47,1,51,"Virginia"
47,1,53,"Washington"
47,1,54,"West Virginia"
47,1,55,"Wisconsin"
47,1,56,"Wyoming"
48,1,1,"Alabama"
48,1,4,"Arizona"
48,1,5,"Arkansas"
48,1,6,"California"
48,1,8,"Colorado"
48,1,9,"Connecticut"
48,1,10,"Delaware"
48,1,11,"District of Columbia"
48,1,12,"Florida"
48,1,13,"Georgia"
48,1,15,"Hawaii"
48,1,16,"Idaho"
48,1,17,"Illinois"
48,1,18,"Indiana"
48,1,19,"Iowa"
48,1,21,"Kentucky"
48,1,22,"Louisiana"
48,1,23,"Maine"
48,1,24,"Maryland"
48,1,25,"Massachusetts"
48,1,26,"Michigan"
48,1,27,"Minnesota"
48,1,28,"Mississippi"
48,1,29,"Missouri"
48,1,30,"Montana"
48,1,31,"Nebraska"
48,1,32,"Nevada"
48,1,33,"New Hampshire"
48,1,34,"New Jersey"
48,1,35,"New Mexico"
48,1,36,"New York"
