"mes_id","geo_id","name","smooth"
754,1,"State",0
754,2,"County",1
765,1,"State",0
766,1,"State",0
767,1,"State",0
768,1,"State",0
770,1,"State",0
771,1,"State",0
772,1,"State",0
773,1,"State",0
774,1,"State",0
775,1,"State",0
777,1,"State",0
778,1,"State",0
779,1,"State",0
780,1,"State",0
781,1,"State",0
782,1,"State",0
784,1,"State",0
785,1,"State",0
786,1,"State",0
787,1,"State",0
788,1,"State",0
789,1,"State",0
791,1,"State",0
792,1,"State",0
793,1,"State",0
794,1,"State",0
795,1,"State",0
796,1,"State",0
798,1,"State",0
799,1,"State",0
800,1,"State",0
801,1,"State",0
803,1,"State",0
804,1,"State",0
805,1,"State",0
806,1,"State",0
808,1,"State",0
809,1,"State",0
810,1,"State",0
811,1,"State",0
813,1,"State",0
814,1,"State",0
815,1,"State",0
816,1,"State",0
818,1,"State",0
819,1,"State",0
820,1,"State",0
821,1,"State",0
765,2,"County",0
766,2,"County",0
767,2,"County",0
768,2,"County",0
769,2,"County",0
770,2,"County",0
771,2,"County",0
772,2,"County",0
773,2,"County",0
774,2,"County",0
775,2,"County",0
776,2,"County",0
777,2,"County",0
778,2,"County",0
779,2,"County",0
780,2,"County",0
781,2,"County",0
782,2,"County",0
783,2,"County",0
784,2,"County",0
785,2,"County",0
786,2,"County",0
787,2,"County",0
788,2,"County",0
789,2,"County",0
790,2,"County",0
791,2,"County",0
792,2,"County",0
793,2,"County",0
794,2,"County",0
795,2,"County",0
796,2,"County",0
797,2,"County",0
798,2,"County",0
799,2,"County",0
800,2,"County",0
801,2,"County",0
802,2,"County",0
803,2,"County",0
804,2,"County",0
805,2,"County",0
806,2,"County",0
807,2,"County",0
808,2,"County",0
809,2,"County",0
810,2,"County",0
811,2,"County",0
812,2,"County",0
813,2,"County",0
814,2,"County",0
815,2,"County",0
816,2,"County",0
817,2,"County",0
818,2,"County",0
819,2,"County",0
820,2,"County",0
821,2,"County",0
822,2,"County",0
823,6,"National",0
824,6,"National",0
825,6,"National",0
826,6,"National",0
827,6,"National",0
828,6,"National",0
829,6,"National",0
830,6,"National",0
831,6,"National",0
832,6,"National",0
833,6,"National",0
834,6,"National",0
835,6,"National",0
836,6,"National",0
837,6,"National",0
838,6,"National",0
839,1,"State",0
839,2,"County",0
840,1,"State",0
840,2,"County",0
842,2,"County",0
841,1,"State",0
841,2,"County",0
856,6,"National",0
857,6,"National",0
858,6,"National",0
859,6,"National",0
860,6,"National",0
861,6,"National",0
862,6,"National",0
863,6,"National",0
852,2,"County",0
853,2,"County",0
854,2,"County",0
855,2,"County",0
843,2,"County",0
324,10,"5K",0
NA,10,"5K",0
324,12,"20K",0
NA,12,"20K",0
645,10,"5K",0
645,12,"20K",0
593,10,"5K",0
593,12,"20K",0
594,10,"5K",0
594,12,"20K",0
595,10,"5K",0
595,12,"20K",0
596,10,"5K",0
596,12,"20K",0
597,10,"5K",0
597,12,"20K",0
364,10,"5K",0
364,12,"20K",0
331,10,"5K",0
331,12,"20K",0
332,10,"5K",0
332,12,"20K",0
598,10,"5K",0
598,12,"20K",0
599,10,"5K",0
599,12,"20K",0
600,10,"5K",0
600,12,"20K",0
601,10,"5K",0
601,12,"20K",0
864,2,"County",0
865,2,"County",0
866,2,"County",0
867,2,"County",0
868,2,"County",0
869,2,"County",0
870,2,"County",0
871,2,"County",0
872,2,"County",0
873,1,"State",0
874,7,"Census Tract",0
875,7,"Census Tract",0
876,2,"County",0
876,7,"Census Tract",0
877,2,"County",0
877,7,"Census Tract",0
878,2,"County",0
878,7,"Census Tract",0
879,2,"County",0
879,7,"Census Tract",0
880,2,"County",0
880,7,"Census Tract",0
881,2,"County",0
881,7,"Census Tract",0
882,2,"County",0
882,7,"Census Tract",0
883,2,"County",0
883,7,"Census Tract",0
884,2,"County",0
884,7,"Census Tract",0
885,2,"County",0
885,7,"Census Tract",0
886,2,"County",0
886,7,"Census Tract",0
887,2,"County",0
887,7,"Census Tract",0
888,2,"County",0
888,7,"Census Tract",0
889,2,"County",0
889,7,"Census Tract",0
890,2,"County",0
890,7,"Census Tract",0
891,2,"County",0
891,7,"Census Tract",0
892,2,"County",0
914,2,"County",0
915,2,"County",0
916,2,"County",0
917,2,"County",0
919,2,"County",0
920,2,"County",0
921,2,"County",0
927,2,"County",0
929,2,"County",0
